Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
125.0,731095,A,1.0,REPUBLIC STEEL,14189,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
126.0,731095,A,1.0,ARMCO,17566,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
127.0,731095,A,1.0,EASTERN STAINLESS STEEL,18251,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
128.0,731095,A,1.0,CYCLOPS CORP,20589,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
129.0,731095,A,1.0,CARPENTER TECHNLOGY CORP,20618,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
130.0,731095,A,1.0,ALLEGHENY LUDLUM,18817,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
131.0,731095,A,1.0,JONES & LAUGHLIN STEEL,21530,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
132.0,731095,A,1.0,JESSUP STEEL,45305,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
133.0,731095,A,1.0,WASHINGTON STEEL,45727,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
134.0,731095,A,1.0,COLT INDUSTRIES,11332,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
135.0,731095,A,1.0,REPUBLIC STEEL,14189,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
136.0,731095,A,1.0,ARMCO,17566,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
137.0,731095,A,1.0,EASTERN STAINLESS STEEL,18251,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
138.0,731095,A,1.0,CYCLOPS CORP,20589,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
139.0,731095,A,1.0,CARPENTER TECHNLOGY CORP,20618,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
140.0,731095,A,1.0,ALLEGHENY LUDLUM,18817,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
141.0,731095,A,1.0,JONES & LAUGHLIN STEEL,21530,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
142.0,731095,A,1.0,JESSUP STEEL,45305,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
143.0,731095,A,1.0,WASHINGTON STEEL,45727,FRANCE,Stainless Steel Sheet and Strip,1.0,830427,DOCF,na,na,na,na,0.0,0.0,1983-04-27,4.0
