Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
928.0,731575,N,1.0,USX STEEL GROUP,76644,JAPAN/UK,Cold-Rolled and Hot-Rolled Carbon Steel Sheet ,1.0,941219,TARJ,0,0,1,0,0.0,1.0,1994-12-19,
929.0,731575,N,1.0,LTV CORP,79335,JAPAN/UK,Cold-Rolled and Hot-Rolled Carbon Steel Sheet ,1.0,941219,TARJ,0,0,1,0,0.0,1.0,1994-12-19,
930.0,731575,A,1.0,BETHLEHEM STEEL CORP.,10786,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,950404,TARJ,1,0,0,0,0.0,1.0,1995-04-04,
931.0,731575,A,1.0,ARMCO STEEL CO.,17566,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,950404,TARJ,1,0,0,0,0.0,1.0,1995-04-04,
932.0,731575,A,1.0,LUKENS STEEL CO.,22373,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,950404,TARJ,1,0,0,0,0.0,1.0,1995-04-04,
933.0,731575,A,1.0,LACLEDE STEEL,48363,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,950404,TARJ,1,0,0,0,0.0,1.0,1995-04-04,
934.0,731575,A,1.0,GENEVA STEEL,76116,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,950404,TARJ,1,0,0,0,0.0,1.0,1995-04-04,
935.0,731575,A,1.0,USX STEEL GROUP,76644,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,950404,TARJ,1,0,0,0,0.0,1.0,1995-04-04,
936.0,731575,A,1.0,LTV CORP,79335,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,950404,TARJ,1,0,0,0,0.0,1.0,1995-04-04,
937.0,731575,A,1.0,BETHLEHEM STEEL CORP.,10786,CANADA,Cut-To-Length Carbon Steel Plate,1.0,980527,TARJ,1,0,0,0,0.0,1.0,1998-05-27,
